Date,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
4/7,51.82,192.68,297.73,277.33,262.86,194.51,,,,,
4/8,55.55,192.93,305.91,277.33,260.36,189.39,,,,,
4/9,56.73,193.16,305.91,277.33,260.31,195.34,,,,,
4/10,56.73,193.16,305.91,276.79,264.41,186.88,,,,,
4/11,56.73,193.16,292.56,281.02,264.16,190.76,,,,,
4/12,56.73,194.1,307.13,279.77,266.54,190.76,,,,,
4/13,58.08,193.47,322.63,274.92,266.54,190.76,,,,,
4/14,60.5,198.8,330.64,275.59,266.54,192.97,,,,,
4/15,60.04,200.68,330.64,275.59,264.89,193.19,,,,,
4/16,57.01,199.74,330.64,275.59,267.73,195.84,,,,,
4/17,58.32,199.74,330.64,267.65,257.12,200.38,,,,,
4/18,58.32,199.74,329.81,264.59,250.62,200.38,,,,,
4/19,58.32,199.38,317.24,252.7,251.59,200.38,,,,,
4/20,55.55,196.09,319.98,247.14,251.59,200.38,,,,,
4/21,43.45,191.71,325.36,245.16,251.59,197.03,,,,,
4/22,54.9,194.36,324.15,245.16,247.55,201.08,,,,,
4/23,53.96,194.76,324.15,245.16,251.86,199.93,,,,,
4/24,54.51,194.76,324.15,246.25,254.37,199.88,,,,,
4/25,54.51,194.76,315.31,241.58,257.58,202.47,,,,,
4/26,54.51,193.77,324.35,238.9,258.65,202.47,,,,,
4/27,53.89,198.38,334.1,235.27,258.65,202.47,,,,,
4/28,56.65,201.93,340.09,240.01,258.65,200.38,,,,,
4/29,62.2,204.38,335.74,240.01,258.34,195.95,,,,,
4/30,64.37,201.38,335.74,240.01,254.87,192.52,,,,,
5/1,61.88,201.38,335.74,246.79,244.39,195.42,,,,,
5/2,61.88,201.38,344.01,235.07,245.65,194.24,,,,,
5/3,61.88,204.4,346.62,223.21,241.26,194.24,,,,,
5/4,68.4,207.12,361.73,226.34,241.26,194.24,,,,,
5/5,77.13,206.38,364.37,232.9,241.26,197.03,,,,,
5/6,75.19,202.87,383.65,232.9,243.57,200.95,,,,,
5/7,80.89,204.44,383.65,232.9,239.84,196.78,,,,,
5/8,82.47,204.44,383.65,241.41,242.18,202.79,,,,,
5/9,82.47,204.44,372.44,241.59,242.18,205.34,,,,,
5/10,82.47,206.84,362.4,243.49,237.97,205.34,,,,,
5/11,79.77,206.49,377.8,236.02,237.97,205.34,,,,,
5/12,79.5,208.45,381.92,234.27,237.97,206.06,,,,,
5/13,73.17,201.03,394.53,234.27,237.3,208.35,,,,,
5/14,80.7,205.16,394.53,234.27,232.46,206.75,,,,,
5/15,85.87,205.16,394.53,238.95,236.68,205.94,,,,,
5/16,85.87,205.16,400.29,240.66,244.03,206.18,,,,,
5/17,85.87,207.58,383.17,247.42,247.92,206.18,,,,,
5/18,90.58,207.59,361.31,245.58,247.92,206.18,,,,,
5/19,92.75,201.59,373.92,242.36,247.92,207.38,,,,,
5/20,92.11,194.37,373.95,242.36,241.49,207.48,,,,,
5/21,91.93,197.09,373.95,242.36,239.32,208.76,,,,,
5/22,91.18,197.09,373.95,244.89,236.62,206.24,,,,,
5/23,91.18,197.09,369.52,247,235.15,206.55,,,,,
5/24,91.18,201.67,369.97,254,232.71,206.55,,,,,
5/25,91.18,201.79,373.28,247.76,232.71,206.55,,,,,
5/26,93.23,203.87,381.49,255.13,232.71,206.55,,,,,
5/27,89.27,205.02,397.94,255.13,232.71,200.8,,,,,
5/28,90.65,203.19,397.94,255.13,235.43,200.57,,,,,
5/29,96.1,203.19,397.94,255.13,229.99,197.72,,,,,
5/30,96.1,203.19,397.94,242.92,224.6,196.26,,,,,
5/31,96.1,203.19,393.12,236.63,227.49,196.26,,,,,
6/1,95.17,206.29,405.41,234.62,227.49,196.26,,,,,
6/2,101.58,209.91,424.09,241.32,227.49,199.25,,,,,
6/3,101.43,210.18,432.47,241.32,218.81,202.38,,,,,
6/4,104.9,210.9,432.47,241.32,221.7,196.65,,,,,
6/5,111.86,210.9,432.47,244.19,221.46,198.29,,,,,
6/6,111.86,210.9,425.8,248.93,224.75,199.93,,,,,
6/7,111.86,209.41,422.02,255.62,221.76,199.93,,,,,
6/8,110.25,213.15,427.19,249.02,221.76,199.93,,,,,
6/9,112.28,212.25,432.62,251.82,221.76,202.77,,,,,
6/10,111.74,213.47,423.47,251.82,223.84,202.05,,,,,
6/11,102.13,210.86,423.47,251.82,224.39,212.68,,,,,
6/12,103.43,210.86,423.47,238.76,223.94,209.54,,,,,
6/13,103.43,210.86,413.28,242.79,225.56,217.41,,,,,
6/14,103.43,209.37,405.88,242.96,224.71,217.41,,,,,
6/15,108.32,208.8,394.42,248.67,224.71,217.41,,,,,
6/16,112.48,207.12,401.29,248.8,224.71,216.64,,,,,
6/17,113.03,204.92,386.3,248.8,226.94,221.94,,,,,
6/18,116.27,209.08,386.3,248.8,227.32,224.08,,,,,
6/19,116.85,209.08,386.3,248.8,227.32,224.08,,,,,
6/20,116.85,209.08,386.3,245.92,229.76,225.1,,,,,
6/21,116.85,212.44,386.2,245.31,232.41,225.1,,,,,
6/22,119.54,215.18,389.41,236.12,232.41,225.1,,,,,
6/23,120.83,219.69,379.85,230.41,232.41,213.66,,,,,
6/24,111.17,218.34,388.92,230.41,230,201.94,,,,,
6/25,110.97,218.12,388.92,230.41,232.03,201.85,,,,,
6/26,108.44,218.12,388.92,236.48,235.45,199.52,,,,,
6/27,108.44,218.12,387.49,231.21,235.93,202.94,,,,,
