Date,F,G,H,J,K,M,N,Q,U,V,X,Z
1/1/2019,1.3349,1.3434,1.3631,1.5583,1.573,1.5746,1.5759,1.5651,1.5542,1.4315,1.4077,1.3878
1/2/2019,1.3639,1.3724,1.3921,1.5873,1.602,1.6036,1.6049,1.5941,1.5832,1.4605,1.4367,1.4168
1/3/2019,1.3897,1.398,1.4175,1.6125,1.6269,1.6294,1.6293,1.6181,1.6067,1.4836,1.4593,1.439
1/4/2019,1.405,1.4129,1.4318,1.6261,1.641,1.6428,1.6428,1.6316,1.6203,1.4972,1.473,1.4527
1/5/2019,1.405,1.4129,1.4318,1.6261,1.641,1.6428,1.6428,1.6316,1.6203,1.4972,1.473,1.4527
1/6/2019,1.405,1.4129,1.4318,1.6261,1.641,1.6428,1.6428,1.6316,1.6203,1.4972,1.473,1.4527
1/7/2019,1.4084,1.4163,1.4352,1.6247,1.6383,1.6413,1.6403,1.6301,1.6193,1.4962,1.472,1.4517
1/8/2019,1.4324,1.4403,1.4588,1.6486,1.6622,1.6651,1.6641,1.6538,1.643,1.5198,1.4956,1.4752
1/9/2019,1.4955,1.5038,1.5226,1.7123,1.7259,1.7287,1.7277,1.7174,1.7066,1.5834,1.5592,1.5388
1/10/2019,1.4993,1.5079,1.5272,1.7168,1.7302,1.7329,1.7318,1.7214,1.7106,1.5873,1.563,1.5425
1/11/2019,1.4723,1.4812,1.5018,1.6915,1.7028,1.7031,1.7015,1.6911,1.6803,1.557,1.5328,1.5123
1/12/2019,1.4723,1.4812,1.5018,1.6915,1.7028,1.7031,1.7015,1.6911,1.6803,1.557,1.5328,1.5123
1/13/2019,1.4723,1.4812,1.5018,1.6915,1.7028,1.7031,1.7015,1.6911,1.6803,1.557,1.5328,1.5123
1/14/2019,1.4377,1.4479,1.469,1.6586,1.6698,1.67,1.6683,1.6578,1.6469,1.5235,1.4992,1.4786
1/15/2019,1.4697,1.4799,1.5014,1.6907,1.7016,1.7014,1.6994,1.6886,1.6774,1.5536,1.529,1.5081
1/16/2019,1.4754,1.4857,1.5074,1.6967,1.7076,1.7074,1.7054,1.6946,1.6834,1.5596,1.535,1.5141
1/17/2019,1.4749,1.4846,1.5055,1.6952,1.7061,1.7059,1.7039,1.6931,1.6819,1.5581,1.5335,1.5126
1/18/2019,1.4996,1.5084,1.5281,1.7182,1.7287,1.7255,1.724,1.7155,1.7035,1.5777,1.551,1.5281
1/19/2019,1.4996,1.5084,1.5281,1.7182,1.7287,1.7255,1.724,1.7155,1.7035,1.5777,1.551,1.5281
1/20/2019,1.4996,1.5084,1.5281,1.7182,1.7287,1.7255,1.724,1.7155,1.7035,1.5777,1.551,1.5281
1/21/2019,1.4996,1.5084,1.5281,1.7182,1.7287,1.7255,1.724,1.7155,1.7035,1.5777,1.551,1.5281
1/22/2019,1.4718,1.4806,1.5003,1.6904,1.7009,1.6977,1.6962,1.6877,1.6757,1.5499,1.5232,1.5003
1/23/2019,1.4667,1.4758,1.4956,1.6858,1.6965,1.6934,1.6919,1.6837,1.6718,1.5462,1.5196,1.4969
1/24/2019,1.4706,1.4791,1.4977,1.686,1.6944,1.6901,1.6886,1.6794,1.665,1.5422,1.5181,1.4975
1/25/2019,1.4751,1.4833,1.5014,1.6894,1.699,1.6949,1.6912,1.6815,1.6661,1.5446,1.5217,1.5024
1/26/2019,1.4751,1.4833,1.5014,1.6894,1.699,1.6949,1.6912,1.6815,1.6661,1.5446,1.5217,1.5024
1/27/2019,1.4751,1.4833,1.5014,1.6894,1.699,1.6949,1.6912,1.6815,1.6661,1.5446,1.5217,1.5024
1/28/2019,1.4304,1.4392,1.4574,1.6462,1.6566,1.6534,1.6502,1.6416,1.627,1.5062,1.4841,1.4656
1/29/2019,1.4558,1.4651,1.4832,1.672,1.6825,1.6794,1.6761,1.6674,1.6528,1.532,1.5098,1.4913
1/30/2019,1.4665,1.4755,1.4934,1.6827,1.693,1.6901,1.6866,1.6779,1.6619,1.5397,1.516,1.4961
1/31/2019,1.4401,1.4487,1.4663,1.6545,1.6662,1.6641,1.6601,1.6514,1.6354,1.5132,1.4895,1.4696
2/1/2019,1.4824,1.4905,1.5076,1.6967,1.708,1.7057,1.7005,1.6913,1.6733,1.5515,1.5283,1.5088
2/2/2019,1.4824,1.4905,1.5076,1.6967,1.708,1.7057,1.7005,1.6913,1.6733,1.5515,1.5283,1.5088
2/3/2019,1.4824,1.4905,1.5076,1.6967,1.708,1.7057,1.7005,1.6913,1.6733,1.5515,1.5283,1.5088
2/4/2019,1.4771,1.4848,1.5014,1.6892,1.7013,1.6995,1.6951,1.6859,1.6679,1.5461,1.5229,1.5034
2/5/2019,1.4665,1.475,1.4919,1.6807,1.6919,1.6904,1.6857,1.6756,1.6556,1.5344,1.5119,1.493
2/6/2019,1.4852,1.493,1.5097,1.6972,1.7098,1.7085,1.7033,1.6927,1.6722,1.5511,1.5287,1.5099
2/7/2019,1.4602,1.4681,1.4849,1.6722,1.6848,1.6834,1.6772,1.6656,1.6441,1.5242,1.5029,1.4853
2/8/2019,1.4675,1.4755,1.4925,1.6786,1.6901,1.6875,1.6845,1.6729,1.6514,1.5315,1.5102,1.4926
2/9/2019,1.4675,1.4755,1.4925,1.6786,1.6901,1.6875,1.6845,1.6729,1.6514,1.5315,1.5102,1.4926
2/10/2019,1.4675,1.4755,1.4925,1.6786,1.6901,1.6875,1.6845,1.6729,1.6514,1.5315,1.5102,1.4926
2/11/2019,1.456,1.4639,1.481,1.6672,1.6788,1.6764,1.6713,1.6587,1.6367,1.5181,1.498,1.4817
2/12/2019,1.4708,1.4786,1.4956,1.6819,1.6935,1.6913,1.6855,1.6719,1.6484,1.5307,1.5114,1.496
2/13/2019,1.5002,1.5076,1.5241,1.7104,1.722,1.7213,1.7145,1.701,1.6772,1.5562,1.5356,1.5188
2/14/2019,1.5214,1.5286,1.5447,1.728,1.742,1.741,1.7335,1.7192,1.6942,1.5712,1.5512,1.5385
2/15/2019,1.5683,1.5751,1.5909,1.7739,1.7874,1.7862,1.7774,1.7631,1.7391,1.6141,1.5915,1.5762
2/16/2019,1.5683,1.5751,1.5909,1.7739,1.7874,1.7862,1.7774,1.7631,1.7391,1.6141,1.5915,1.5762
2/17/2019,1.5683,1.5751,1.5909,1.7739,1.7874,1.7862,1.7774,1.7631,1.7391,1.6141,1.5915,1.5762
2/18/2019,1.5683,1.5751,1.5909,1.7739,1.7874,1.7862,1.7774,1.7631,1.7391,1.6141,1.5915,1.5762
2/19/2019,1.5716,1.5782,1.5939,1.7769,1.7894,1.7882,1.7794,1.7651,1.7411,1.6161,1.5926,1.5764
2/20/2019,1.5943,1.6008,1.6162,1.7988,1.811,1.8093,1.8006,1.7863,1.7624,1.6375,1.614,1.5979
2/21/2019,1.5982,1.6047,1.6199,1.802,1.8137,1.8127,1.804,1.7897,1.7658,1.6409,1.6174,1.6013
2/22/2019,1.5998,1.6066,1.622,1.8043,1.8155,1.814,1.8056,1.7917,1.7681,1.6431,1.6193,1.6028
2/23/2019,1.5998,1.6066,1.622,1.8043,1.8155,1.814,1.8056,1.7917,1.7681,1.6431,1.6193,1.6028
2/24/2019,1.5998,1.6066,1.622,1.8043,1.8155,1.814,1.8056,1.7917,1.7681,1.6431,1.6193,1.6028
2/25/2019,1.5446,1.5526,1.5694,1.7519,1.7632,1.7619,1.7539,1.7407,1.7167,1.5913,1.567,1.5501
2/26/2019,1.5584,1.5661,1.5827,1.7652,1.7765,1.7751,1.7671,1.7539,1.7299,1.6044,1.5801,1.5634
2/27/2019,1.5876,1.5946,1.6105,1.7913,1.8044,1.8022,1.7939,1.7805,1.757,1.6315,1.607,1.5903
2/28/2019,1.5815,1.5887,1.6049,1.7832,1.7939,1.7925,1.7858,1.7732,1.7507,1.6232,1.5968,1.5771
3/1/2019,1.5602,1.5676,1.5841,1.7623,1.773,1.7715,1.7648,1.7521,1.7295,1.602,1.5755,1.5558
3/2/2019,1.5602,1.5676,1.5841,1.7623,1.773,1.7715,1.7648,1.7521,1.7295,1.602,1.5755,1.5558
3/3/2019,1.5602,1.5676,1.5841,1.7623,1.773,1.7715,1.7648,1.7521,1.7295,1.602,1.5755,1.5558
3/4/2019,1.5752,1.5818,1.5978,1.7754,1.7863,1.7852,1.7781,1.7652,1.7431,1.617,1.592,1.5742
3/5/2019,1.5837,1.5901,1.6061,1.7827,1.7934,1.7923,1.7852,1.7723,1.7502,1.6241,1.5991,1.5813
3/6/2019,1.5917,1.598,1.6139,1.7905,1.8011,1.8004,1.7928,1.7796,1.7575,1.6314,1.6064,1.5886
3/7/2019,1.6004,1.6066,1.6222,1.798,1.807,1.8071,1.7989,1.7857,1.7631,1.637,1.6119,1.5929
3/8/2019,1.5864,1.5921,1.6068,1.782,1.791,1.7911,1.7828,1.7696,1.7469,1.6211,1.5961,1.5776
