Date,F,G,H,J,K,M,N,Q,U,V,X,Z
1/1/2023,2.2524,2.2549,2.2698,2.4227,2.4267,2.4184,2.4009,2.3829,2.3444,2.217,2.186,2.1631
1/2/2023,2.2524,2.2549,2.2698,2.4227,2.4267,2.4184,2.4009,2.3829,2.3444,2.217,2.186,2.1631
1/3/2023,2.1577,2.1605,2.1754,2.3283,2.3323,2.324,2.3065,2.2885,2.25,2.1226,2.0916,2.0687
1/4/2023,2.0877,2.0916,2.1066,2.2599,2.2644,2.2565,2.239,2.221,2.1825,2.0551,2.0241,2.0012
1/5/2023,2.0929,2.0961,2.1111,2.2644,2.2689,2.261,2.2435,2.2255,2.187,2.0596,2.0286,2.0057
1/6/2023,2.0803,2.0838,2.0991,2.2527,2.2575,2.2499,2.2324,2.2144,2.1759,2.0485,2.0175,1.9946
1/7/2023,2.0803,2.0838,2.0991,2.2527,2.2575,2.2499,2.2324,2.2144,2.1759,2.0485,2.0175,1.9946
1/8/2023,2.0803,2.0838,2.0991,2.2527,2.2575,2.2499,2.2324,2.2144,2.1759,2.0485,2.0175,1.9946
1/9/2023,2.1191,2.1221,2.1368,2.2906,2.2967,2.2898,2.2723,2.2543,2.2158,2.0884,2.0574,2.0345
1/10/2023,2.1264,2.1292,2.1438,2.2971,2.3032,2.2963,2.2788,2.2608,2.2223,2.0949,2.0639,2.041
1/11/2023,2.1958,2.1978,2.2106,2.3604,2.3661,2.3588,2.3413,2.3225,2.2836,2.1558,2.1244,2.1011
1/12/2023,2.2195,2.2183,2.2279,2.3779,2.3836,2.3763,2.3588,2.34,2.3011,2.1733,2.1419,2.1186
1/13/2023,2.2576,2.2558,2.2636,2.4086,2.4152,2.409,2.3915,2.3727,2.3338,2.206,2.1746,2.1513
1/14/2023,2.2576,2.2558,2.2636,2.4086,2.4152,2.409,2.3915,2.3727,2.3338,2.206,2.1746,2.1513
1/15/2023,2.2576,2.2558,2.2636,2.4086,2.4152,2.409,2.3915,2.3727,2.3338,2.206,2.1746,2.1513
1/16/2023,2.2576,2.2558,2.2636,2.4086,2.4152,2.409,2.3915,2.3727,2.3338,2.206,2.1746,2.1513
1/17/2023,2.2553,2.2541,2.2617,2.4065,2.4129,2.4057,2.3882,2.3674,2.3274,2.1986,2.1662,2.1419
1/18/2023,2.2436,2.2436,2.2513,2.3963,2.4027,2.3955,2.378,2.3572,2.3172,2.1884,2.156,2.1317
1/19/2023,2.2724,2.2714,2.2784,2.4234,2.4268,2.4185,2.401,2.3777,2.3334,2.2028,2.1686,2.1425
1/20/2023,2.2917,2.2888,2.2951,2.4404,2.444,2.4367,2.4154,2.3878,2.3427,2.2105,2.1749,2.1479
1/21/2023,2.2917,2.2888,2.2951,2.4404,2.444,2.4367,2.4154,2.3878,2.3427,2.2105,2.1749,2.1479
1/22/2023,2.2917,2.2888,2.2951,2.4404,2.444,2.4367,2.4154,2.3878,2.3427,2.2105,2.1749,2.1479
1/23/2023,2.3012,2.2979,2.3046,2.4508,2.4555,2.449,2.4272,2.3992,2.3536,2.2209,2.1849,2.1574
1/24/2023,2.2717,2.2682,2.2749,2.4224,2.4282,2.4232,2.4033,2.3755,2.3302,2.1977,2.162,2.1347
1/25/2023,2.248,2.2446,2.2517,2.4012,2.4072,2.4024,2.3828,2.3552,2.3101,2.1778,2.1424,2.1153
1/26/2023,2.268,2.2643,2.2708,2.427,2.4344,2.4318,2.4101,2.3808,2.3342,2.2004,2.1635,2.1349
1/27/2023,2.2416,2.2378,2.2431,2.4154,2.4235,2.421,2.4014,2.3716,2.3234,2.1876,2.1519,2.1233
1/28/2023,2.2416,2.2378,2.2431,2.4154,2.4235,2.421,2.4014,2.3716,2.3234,2.1876,2.1519,2.1233
1/29/2023,2.2416,2.2378,2.2431,2.4154,2.4235,2.421,2.4014,2.3716,2.3234,2.1876,2.1519,2.1233
1/30/2023,2.197,2.1939,2.1997,2.372,2.3801,2.3777,2.3582,2.3282,2.2799,2.1438,2.1081,2.0795
1/31/2023,2.2352,2.2327,2.2391,2.4111,2.4191,2.4166,2.397,2.3669,2.3184,2.1822,2.1464,2.1177
2/1/2023,2.1662,2.1655,2.1737,2.3459,2.354,2.3517,2.3323,2.3023,2.2538,2.1176,2.0818,2.0531
2/2/2023,2.1529,2.1522,2.1616,2.3408,2.3505,2.3494,2.3303,2.3003,2.2518,2.1156,2.0798,2.0511
2/3/2023,2.0661,2.0656,2.0756,2.2547,2.2645,2.2636,2.2451,2.2148,2.1661,2.0298,2.0018,1.981
2/4/2023,2.0661,2.0656,2.0756,2.2547,2.2645,2.2636,2.2451,2.2148,2.1661,2.0298,2.0018,1.981
2/5/2023,2.0661,2.0656,2.0756,2.2547,2.2645,2.2636,2.2451,2.2148,2.1661,2.0298,2.0018,1.981
2/6/2023,2.0932,2.0923,2.1023,2.2817,2.2915,2.2908,2.2734,2.2439,2.1964,2.0603,2.0324,2.0118
2/7/2023,2.1518,2.1502,2.1601,2.3391,2.3481,2.3471,2.3308,2.3014,2.254,2.1165,2.0873,2.0649
2/8/2023,2.1882,2.1862,2.1958,2.3747,2.3837,2.3836,2.3699,2.3438,2.2963,2.1575,2.1281,2.1054
2/9/2023,2.1766,2.1746,2.1833,2.3588,2.3662,2.3627,2.3478,2.3226,2.2782,2.1391,2.1095,2.0865
2/10/2023,2.2157,2.2119,2.2199,2.3942,2.3995,2.3937,2.378,2.3518,2.3064,2.1663,2.1357,2.1117
