Date,F,G,H,J,K,M,N,Q,U,V,X,Z
1/1/2020,1.9461,1.9356,1.9199,1.8973,1.8828,1.8751,1.8707,1.8673,1.8664,1.8661,1.866,1.8649
1/2/2020,1.958,1.9482,1.9329,1.9105,1.896,1.8885,1.8842,1.881,1.8803,1.8801,1.8802,1.8792
1/3/2020,1.9879,1.9774,1.9602,1.9356,1.9184,1.9081,1.9018,1.8969,1.8944,1.8924,1.8914,1.8901
1/4/2020,1.9879,1.9774,1.9602,1.9356,1.9184,1.9081,1.9018,1.8969,1.8944,1.8924,1.8914,1.8901
1/5/2020,1.9879,1.9774,1.9602,1.9356,1.9184,1.9081,1.9018,1.8969,1.8944,1.8924,1.8914,1.8901
1/6/2020,1.9795,1.97,1.9536,1.9293,1.9124,1.902,1.895,1.8898,1.887,1.8845,1.883,1.8812
1/7/2020,1.9742,1.9653,1.9495,1.9261,1.9091,1.8985,1.8919,1.8871,1.8847,1.8826,1.8814,1.8799
1/8/2020,1.9118,1.9039,1.8908,1.87,1.855,1.847,1.8423,1.8391,1.8379,1.8371,1.8374,1.8376
1/9/2020,1.9106,1.9029,1.8903,1.8699,1.8555,1.8471,1.8422,1.8387,1.8377,1.837,1.8374,1.8377
1/10/2020,1.8937,1.8869,1.8755,1.8561,1.8435,1.8362,1.8322,1.8287,1.8277,1.8272,1.8276,1.8268
1/11/2020,1.8937,1.8869,1.8755,1.8561,1.8435,1.8362,1.8322,1.8287,1.8277,1.8272,1.8276,1.8268
1/12/2020,1.8937,1.8869,1.8755,1.8561,1.8435,1.8362,1.8322,1.8287,1.8277,1.8272,1.8276,1.8268
1/13/2020,1.8696,1.8637,1.8531,1.8346,1.8233,1.8164,1.8132,1.8105,1.8102,1.8102,1.811,1.8107
1/14/2020,1.8762,1.87,1.8583,1.839,1.8267,1.819,1.8153,1.8122,1.8116,1.8114,1.8121,1.8117
1/15/2020,1.8563,1.8508,1.8402,1.8219,1.8107,1.8037,1.8009,1.7979,1.7967,1.796,1.796,1.795
1/16/2020,1.8516,1.8459,1.835,1.8166,1.8052,1.7983,1.7956,1.7927,1.7914,1.7906,1.7905,1.7893
1/17/2020,1.8553,1.8495,1.8382,1.8197,1.8081,1.8008,1.7974,1.7946,1.7931,1.7918,1.7913,1.7897
1/18/2020,1.8553,1.8495,1.8382,1.8197,1.8081,1.8008,1.7974,1.7946,1.7931,1.7918,1.7913,1.7897
1/19/2020,1.8553,1.8495,1.8382,1.8197,1.8081,1.8008,1.7974,1.7946,1.7931,1.7918,1.7913,1.7897
1/20/2020,1.8553,1.8495,1.8382,1.8197,1.8081,1.8008,1.7974,1.7946,1.7931,1.7918,1.7913,1.7897
1/21/2020,1.8443,1.8393,1.8285,1.8106,1.7993,1.7916,1.7884,1.7861,1.7851,1.7844,1.7845,1.7834
1/22/2020,1.8205,1.8165,1.8066,1.7901,1.7805,1.774,1.7714,1.7694,1.7683,1.7678,1.768,1.7671
1/23/2020,1.8089,1.8055,1.7961,1.7802,1.7713,1.7653,1.7634,1.7623,1.7614,1.7611,1.7614,1.7605
1/24/2020,1.7699,1.7677,1.7597,1.7454,1.7382,1.7336,1.7325,1.7314,1.7306,1.7302,1.7301,1.7291
1/25/2020,1.7699,1.7677,1.7597,1.7454,1.7382,1.7336,1.7325,1.7314,1.7306,1.7302,1.7301,1.7291
