Date,Port Arthur-Houston,Port Arthur-Greenville,Pasadena-Greenville,Greenville-Glenpool,Port Arthur-Glenpool,Pasadena-Glenpool,Port Arthur-Wood River,Glenpool-Wood River,Wood River-Hammond,Glenpool-Hammond Area,HOUSTON - HMD TRANSIT,STORAGE,DAYS
2026-01-03,0.95,3.9,2.95,4.1,7.9,7.0,14.1,6.0,5.9,11.9,18.9,1,19.9
2026-01-12,0.90,3.6,2.70,3.6,7.2,6.3,12.4,5.1,4.1,9.2,15.5,1,16.5
2026-01-20,0.83,3.6,2.80,3.9,7.6,6.7,13.0,5.3,4.3,9.6,16.3,1,17.3
2026-02-01,1.20,4.0,2.87,3.7,7.6,6.5,12.9,5.3,4.1,9.4,15.9,1,16.9
2026-02-13,1.00,4.1,3.06,4.0,8.1,7.1,14.0,6.0,5.3,11.2,18.3,1,19.3
2026-02-27,1.1,3.9,2.84,4.0,7.8,6.8,13.4,5.6,4.0,9.6,16.4,1,17.4
2026-03-4,0.98,4.1,3.04,4.7,8.8,7.7,15.5,6.8,7.8,14.6,22.3,1,23.3
2026-03-15,0.9,3.6,2.62,3.5,7.1,6.1,12.7,5.6,3.5,9.1,15.2,1,16.2
2026-03-22,0.99,3.5,2.50,3.4,6.9,5.9,13.1,6.2,4.6,10.8,16.7,1,17.7
