Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
2025-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.13,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67,8.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
